広告枠名,条件,予算
TOP・下層ページ共通フッタ：お得なキャンペーン枠(前半)：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月7日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥530,000"
TOP・下層ページ共通フッタ：おすすめアイテムバナー枠(前半)：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月7日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥750,000"
14時間掲載・注目ピックアップ枠：最上部セール枠：PC＆スマートフォン 3月4日開始分(お買い物かご設定時間：3月4日20:00～3月5日09:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
有
【販売期間】　
完全一致
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥230,000"
14時間掲載・注目ピックアップ枠：上部枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月5日09:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
有
【販売期間】　
完全一致
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥170,000"
14時間掲載・注目ピックアップ枠：基本枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月5日09:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
有
【販売期間】　
完全一致
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥50,000"
送料無料ポイント20倍アイテム枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
完全一致
【販売価格指定or
 値引きorポイント】　
ポイント20倍
【クーポン有効期間】　
無
【値引き率】　
任意","¥100,000"
会員ランク別ポイント優待キャンペーン(店内全品対象・会員ランク別変倍のみ)：上部枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
会員ランク別ポイント設定
【クーポン有効期間】　
無
【値引き率】　
任意","¥100,000"
会員ランク別ポイント優待キャンペーン(店内全品対象・会員ランク別変倍のみ)：基本枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
会員ランク別ポイント設定
【クーポン有効期間】　
無
【値引き率】　
任意","¥40,000"
インテリア・キッチン・日用品・ペット用品・花・ガーデン：基本枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥70,000"
キッズ・ベビー・おもちゃ：基本枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥100,000"
メンズファッション・バッグ・小物・腕時計・アクセサリー：男性用商品のみ：基本枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥80,000"
レディースファッション・バッグ・小物・腕時計・アクセサリー：女性用商品のみ：基本枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥120,000"
家電・パソコン・スマートフォン・スポーツ・ホビー・車用品：基本枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥80,000"
食品・スイーツ・ドリンク・お酒：基本枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥160,000"
美容・健康・医薬品・コンタクト：基本枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥120,000"
パーソナライズ表示：春を楽しむアイテム：インテリア・キッチン・日用品・収納・寝具・ベッドマットレスジャンル枠(前半)：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月7日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥240,000"
パーソナライズ表示：春を楽しむアイテム：食品・ドリンク・お酒ジャンル枠(前半)：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月7日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥310,000"
パーソナライズ表示：春を楽しむアイテム：美容・コスメ・ダイエット・健康・コンタクトジャンル枠(前半)：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月7日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥190,000"
パーソナライズ表示：春を楽しむアイテム：ファッション・インナー・ファッション小物枠(前半)：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月7日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥200,000"
パーソナライズ表示：春を楽しむアイテム：家電・スポーツ・ゲーム・ホビージャンル枠(前半)：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月7日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥120,000"
"送料無料1,000円ポッキリアイテム(ファッションジャンル)枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59)","【入稿URL指定 】　
商品指定
【価格チェック】　
有
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
1000円送料無料
【クーポン有効期間】　
無
【値引き率】　
任意","¥100,000"
"送料無料2,000円以下お手頃グルメ枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59)","【入稿URL指定 】　
商品指定
【価格チェック】　
有
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
1001~1999円送料無料
【クーポン有効期間】　
無
【値引き率】　
任意","¥100,000"
レビュー4.0以上高評価グルメ枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
レビュー4以上
【クーポン有効期間】　
無
【値引き率】　
任意","¥120,000"
訳あり・おためし・送料無料グルメ枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
送料無料
【クーポン有効期間】　
無
【値引き率】　
任意","¥180,000"
訳あり・おためし・送料無料アイテム(グルメジャンル以外)枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
送料無料
【クーポン有効期間】　
無
【値引き率】　
任意","¥30,000"
在庫処分市枠：PC＆スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月5日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥140,000"
TOPページ：4時間掲載：ショップイチオシアイテム枠：PC＆スマートフォン 3月4日開始分(掲載時間：3月4日20:00～23:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥270,000"
楽天市場アプリ掲載：上部枠：スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月5日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥430,000"
楽天市場アプリ掲載：基本枠：スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月5日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥70,000"
買いまわりカウンターページ掲載枠：スマートフォン 3月4日開始分(掲載期間：3月4日20:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥30,000"
24時間掲載・注目ピックアップ枠：上部枠：PC＆スマートフォン 3月5日開始分(掲載期間：3月5日10:00～3月6日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
完全一致
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥140,000"
24時間掲載・注目ピックアップ枠：基本枠：PC＆スマートフォン 3月5日開始分(掲載期間：3月5日10:00～3月6日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
完全一致
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥40,000"
送料無料ポイント10倍アイテム：PC＆スマートフォン 3月5日開始分(掲載期間：3月5日00:00～23:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
完全一致
【販売価格指定or
 値引きorポイント】　
ポイント10倍
【クーポン有効期間】　
無
【値引き率】　
任意","¥150,000"
5日掲載・お得にお買い物クーポン(店内全品対象)：基本枠：PC＆スマートフォン 3月5日開始分(掲載期間：3月5日00:00～23:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
5％OFFクーポン以上
【クーポン有効期間】　
完全一致
【値引き率】　
5％OFF以上","¥30,000"
在庫処分市枠：PC＆スマートフォン 3月5日開始分(掲載期間：3月5日10:00～3月6日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥120,000"
TOPページ：20時間掲載：ショップイチオシアイテム枠：PC＆スマートフォン 3月5日開始分(掲載時間：3月5日00:00～19:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
有
【販売期間】　
完全一致
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥200,000"
TOPページ：4時間掲載：ショップイチオシアイテム枠：PC＆スマートフォン 3月5日開始分(掲載時間：3月5日20:00～23:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
有
【販売期間】　
完全一致
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥180,000"
楽天市場アプリ掲載：上部枠：スマートフォン 3月5日開始分(掲載期間：3月5日10:00～3月6日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥330,000"
楽天市場アプリ掲載：基本枠：スマートフォン 3月5日開始分(掲載期間：3月5日10:00～3月6日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥50,000"
24時間掲載・注目ピックアップ枠：最上部セール枠：PC＆スマートフォン 3月6日開始分(お買い物かご設定時間：3月6日10:00～3月7日09:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
有
【販売期間】　
完全一致
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥160,000"
24時間掲載・注目ピックアップ枠：上部枠：PC＆スマートフォン 3月6日開始分(掲載期間：3月6日10:00～3月7日09:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
有
【販売期間】　
完全一致
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥100,000"
24時間掲載・注目ピックアップ枠：基本枠：PC＆スマートフォン 3月6日開始分(掲載期間：3月6日10:00～3月7日09:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
有
【販売期間】　
完全一致
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥30,000"
在庫処分市枠：PC＆スマートフォン 3月6日開始分(掲載期間：3月6日10:00～3月7日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥90,000"
TOPページ：24時間掲載：ショップイチオシアイテム枠：PC＆スマートフォン 3月6日開始分(掲載時間：3月6日00:00～23:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
有
【販売期間】　
完全一致
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥120,000"
楽天市場アプリ掲載：上部枠：スマートフォン 3月6日開始分(掲載期間：3月6日10:00～3月7日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥250,000"
楽天市場アプリ掲載：基本枠：スマートフォン 3月6日開始分(掲載期間：3月6日10:00～3月7日09:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥50,000"
TOP・下層ページ共通フッタ：厳選アイテムバナー枠(後半)：PC&スマートフォン 3月7日開始分(掲載期間：3月7日10:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥1,300,000"
TOP・下層ページ共通フッタ：お得なキャンペーン枠(後半)：PC＆スマートフォン 3月7日開始分(掲載期間：3月7日10:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥250,000"
TOP・下層ページ共通フッタ：おすすめアイテムバナー枠(後半)：PC＆スマートフォン 3月7日開始分(掲載期間：3月7日10:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥830,000"
24時間掲載・注目ピックアップ枠：最上部セール枠：PC＆スマートフォン 3月7日開始分(お買い物かご設定時間：3月7日10:00～3月8日09:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
有
【販売期間】　
完全一致
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥150,000"
24時間掲載・注目ピックアップ枠：上部枠：PC＆スマートフォン 3月7日開始分(掲載期間：3月7日10:00～3月8日09:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
有
【販売期間】　
完全一致
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥90,000"
24時間掲載・注目ピックアップ枠：基本枠：PC＆スマートフォン 3月7日開始分(掲載期間：3月7日10:00～3月8日09:59),"【入稿URL指定 】　
商品指定
【価格チェック】　
有
【販売期間】　
完全一致
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥30,000"
パーソナライズ表示：春を楽しむアイテム：インテリア・キッチン・日用品・収納・寝具・ベッドマットレスジャンル枠(後半)：PC＆スマートフォン 3月7日開始分(掲載期間：3月7日10:00～3月11日01:59),"【入稿URL指定 】　
無
【価格チェック】　
無
【販売期間】　
任意
【販売価格指定or
 値引きorポイント】　
指定なし
【クーポン有効期間】　
無
【値引き率】　
任意","¥230,000"
